,title
0,"As U.S. budget fight looms, Republicans flip their fiscal script"
1,U.S. military to accept transgender recruits on Monday:
2,Senior U.S. Republican senator: 'Let Mr. Mueller do his job'
3,FBI Russia probe helped by Australian diplomat tip-off:
4,Trump wants Postal Service to charge 'much more' for Amazon shipments
5,"White House, Congress prepare for talks on spending, immigration"
6,"Trump says Russia probe will be fair, but timeline unclear:"
7,"   - Approval rating, Amazon"
8,  - Global Warming
9,Alabama official to certify Senator-elect Jones today despite challenge:
10,Jones certified U.S. Senate winner despite Moore challenge
11,New York governor questions the constitutionality of federal tax overhaul
12,"   - Vanity Fair, Hillary Clinton"
13,"  - Trump, Iraq, Syria"
14,Man says he delivered manure to Mnuchin to protest new U.S. tax law
15,Virginia officials postpone lottery drawing to decide tied statehouse election
16,U.S. lawmakers question businessman at 2016 Trump Tower meeting:
17,"  - Hillary Clinton, Tax Cut Bill"
18,U.S. appeals court rejects challenge to Trump voter fraud panel
19,Treasury Secretary Mnuchin was sent gift-wrapped box of horse manure:
20,Federal judge partially lifts Trump's latest refugee restrictions
21,Exclusive: U.S. memo weakens guidelines for protecting immigrant children in court
22,Trump travel ban should not apply to people with strong U.S. ties:
23,Second court rejects Trump bid to stop transgender military recruits
24,Failed vote to oust president shakes up Peru's politics
25,"Trump signs tax, government spending bills into law"
26,Companies have up to a year for new U.S. tax bill reporting:
27,"  - Tax cut, Missile defense bill"
28,Mexico to review need for tax changes after U.S. reform-document
29,Senate leader McConnell sees a more collegial 2018
30,Alabama to certify Democrat Jones winner of Senate election
31,McConnell happier with Trump tweets after tax victory
32,House panel asks Trump ex-top aide Bannon to testify:
33,Callista Gingrich becomes Trump's envoy to pope as differences mount
34,"As Republicans aim to ride economy to election victory, a warning from voters in key district"
35,Exclusive: State Department tells refugee agencies to downsize U.S. operations
36,"Congress votes to avert shutdown, sends Trump stopgap spending bill"
37, Big-ticket items at center of Congress spending bill
38,"In victory for Trump, judge tosses suit on foreign payments"
39,Senate shelves disaster aid bill until next month
40,"  - Tax Cuts, Home sales"
41,House widens ethics probe to include Farenthold campaign work
42,U.S. court rejects Trump bid to stop transgender military recruits on Jan. 1
43,U.S. House approves $81 billion for disaster aid
44,House Democrats rally to protect Special Counsel Mueller
45,Second U.S. judge blocks Trump administration birth control rules
46,Senators seek to stop expansion of airport facial scans
47,U.S. launches effort to reduce reliance on imports or critical minerals
48,"Short-term government funding, disaster aid bills advance in House"
49,Spy chiefs pressure Congress to renew expiring surveillance law
50,Trump urges Congress to pass short-term spending bill
51,"House gives final approval to tax bill, delivering victory to Trump"
52,U.S. tax plan roils popular bet in bond market
53,U.S. lawmakers seek temporary extension to internet spying program
54,Trump commutes fraud sentence of kosher meatpacker
55,U.S. responds in court fight over illegal Indonesian immigrants
56,Democrat Franken to leave Senate on January 2
57,U.S. lawmakers seek temporarily extension to internet spying program
58,Top Democrat says Trump firing of Mueller could provoke 'constitutional crisis'
59,U.S. tax bill may face lawsuits with long odds but political payoffs
60,Vote in Senate on 'Dreamers' hinges on bipartisan pact:
61,White House says tax bill will not hurt Puerto Rico
62,Democrats plan to use tax bill to attack Republicans at midterms
63,"After ruling, Virginia legislature's majority to be chosen by lot"
64,"Fight over Alaska Arctic drilling has just begun, opponents vow"
65,Senator Cornyn trying to get Big Corn behind U.S. biofuels reform
66,"In Georgia, battle of the 'Staceys' tests Democrats' future"
67,Democrat wins by one vote in Virginia legislative election recount
68,FBI deputy director to sit for closed interview with House panels
69,White House expects Congress to waive spending cuts triggered by tax overhaul
70,  - Tax Bill
71,What's in the final Republican tax bill
72,Trump: Market has not fully digested tax cut changes
73,White House aide sees temporary funding fix for children's health program
74,"Tax bill's 'pass-through' rule will aid wealthy, not workers:"
75,U.S. tax cuts won't make housing more affordable:
76,"Banks, healthcare service firms among winners from U.S. tax bill"
77,Trump's Supreme Court appointee Gorsuch plots rightward course
78,Republicans seek to question FBI officials in Clinton probe:
79,Trump aides hope win on taxes will stem slide in poll numbers
80,Congress faces tricky path to avoid government shutdown
81,Factbox - Big-ticket items at center of Congress funding battle
82,Senate parliamentarian rules against tax bill provisions:
83,"Senate panel snubs Trump's pick to run EXIM, OKs other nominees"
84,House will likely need to vote again on tax bill:
85,"Instant View: House approves biggest tax overhaul in 30 years, Senate next"
86,Senate begins debate on final Republican tax bill
87,Bill could make Congress members liable for harassment payouts
88,Green groups sue Trump administration over delay of methane rule
89,House Democratic leaders urging 'no' vote on spending bill:
90,"Pence to preside over Senate tax bill vote, his office confirms"
91,Senate to vote on final tax bill Tuesday evening:
92,Republicans appear all but certain to pass tax legislation
93,Court orders Trump administration to give immigrant teens abortion access
94,House plan would increase Trump's disaster aid request
95,House panel chair introduces $81 billion disaster aid bill
96,Trump nominates Liberty University professor to Justice Department post
97,"  - Congressional Races, train accident, tax cuts"
98,Trump Cabinet officials to visit Puerto Rico to assess recovery
99,'Dreamer' immigration bill not on U.S. Senate agenda this month
100,Senator Warren hits out at 'effort to politicize' U.S. consumer agency
101,Trump strategy document says Russia meddles in domestic affairs worldwide
102,Republican Senator Collins says she will vote for tax bill
103,Democratic U.S. senator seeks audit of EPA chief's trip to Morocco
104,Republican Senator Lee says he will vote for tax bill
105,Trump: U.S. has 'no choice' but to deal with North Korea arms challenge
106,Trump judicial nominee withdraws from consideration
107,Trump calls for U.S. infrastructure plan after train derailment
108,"Final Republican tax bill slashes U.S. corporate rate, voting next week"
109, What's in the final U.S. Republican tax bill
110,Trump defends tax plan as 'great Christmas gifts' to middle class
111,House to vote on tax bill Tuesday afternoon:
112,White House optimistic Congress will avoid government shutdown
113,U.S. taxpayers rush to claim deductions under threat from tax bill
114,Republicans confident tax bill to become law this week
115,Republican Senator John McCain leaves Washington before expected tax vote
116,Trump says not considering firing U.S. special counsel Mueller
117,Trump allies say Mueller unlawfully obtained thousands of emails
118,Senator-elect Jones not joining calls for Trump resignation
119,Trump administration bans selected words at health agencies:
120,Congressman will not seek relection amid misconduct probe
121,Trump to say in security speech that China is competitor:
122,   - Quantico
123,Republican tax bill retains U.S. electric vehicle tax credit
124,Attorney General Sessions has lukewarm praise for FBI after Trump attack
125,Senate Democrats to force vote on FCC net neutrality repeal
126,"U.S. lawmaker probed on sex reports, second congressman denies charges"
